id,host_id,host_name,host_since,host_response_rate,host_listings_count,host_total_listings_count,city,state,zipcode,country,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month
3303376,30559,Angielena,09-08-2009,100%,5,5,Seattle,WA,98108,United States,Other,Private room,2,3,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",75,430,"1,300.00",100,10,1,10,2,30,20,90,moderate,1.08
10060388,943847,Cote,09-08-2011,100%,1,1,Seattle,WA,98108,United States,House,Entire home/apt,6,1.5,3,3,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",100,,,,45,6,20,1,22,0,,flexible,
8570596,43868016,Chris,10-09-2015,100%,1,1,Seattle,WA,98108,United States,House,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",65,,,,,1,0,1,1125,0,,flexible,
4589654,23792018,Roda,15-11-2014,100%,5,5,Seattle,WA,98108,United States,House,Entire home/apt,4,1,2,3,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",105,,,200,60,2,10,2,1125,15,88,moderate,1.25
7843145,41322124,Carla,12-08-2015,100%,1,1,Seattle,WA,98126,United States,House,Entire home/apt,4,1,2,3,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",125,"1,000.00","3,000.00",200,,0,0,2,1125,5,96,strict,2.31
8194164,43226056,Tony,02-09-2015,N/A,1,1,Seattle,WA,98126,United States,House,Private room,2,1,1,1,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",60,350,"1,200.00",,,1,30,1,1125,2,90,flexible,0.5
4252591,22068932,Leonard,03-10-2014,N/A,1,1,Seattle,WA,98106,United States,House,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher""}",59,413,,500,10,2,20,1,1125,0,,flexible,
6810430,2911433,Anna,12-07-2012,90%,1,1,Seattle,WA,98106,United States,House,Entire home/apt,3,1,1,2,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",65,400,"1,400.00",,25,1,0,1,1125,40,93,flexible,5.91
902609,3264544,Fabio,15-08-2012,100%,1,1,Seattle,WA,98106,United States,House,Entire home/apt,3,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",58,458,,100,45,1,25,2,32,107,95,strict,3.16
696004,3563779,Wendy,13-09-2012,100%,1,1,Seattle,WA,98106,United States,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Hair Dryer"",Iron}",120,800,"2,200.00",,,2,5,2,125,64,92,moderate,1.69
4824581,167482,Ann,15-07-2010,100%,1,1,Seattle,WA,98106,United States,House,Private room,4,1,1,1,Real Bed,"{TV,""Wireless Internet"",""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",150,,,200,30,4,10,2,5,26,99,flexible,2.13
72743,242188,Jennifer,22-09-2010,43%,1,1,Seattle,WA,98106,United States,House,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",Essentials}",55,420,"1,400.00",,,1,5,1,365,95,97,moderate,1.63
6019762,31247796,Jimmy,14-04-2015,100%,1,1,Seattle,WA,98106,United States,House,Entire home/apt,4,1,2,2,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",110,770,,,95,1,0,7,10,3,93,strict,0.48
6133684,6743367,Janice,04-06-2013,100%,1,1,Seattle,WA,98106,United States,House,Private room,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Other pet(s)"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",75,500,"1,500.00",,,2,10,1,1125,5,92,flexible,0.64
4182732,21699774,Pierre,23-09-2014,N/A,1,1,Seattle,WA,98106,United States,House,Private room,2,1,1,1,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Carbon Monoxide Detector"",""First Aid Kit""}",75,,,,,1,0,1,1125,0,,flexible,
6479027,1939746,Justine,17-03-2012,100%,1,1,Seattle,WA,98106,United States,Townhouse,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Breakfast,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",""Laptop Friendly Workspace""}",53,420,,,,1,0,1,1125,10,92,flexible,1.52
